id,full_text
1437141186121064449,bestselling author gregpalast amp guests jeffsantosshow palast report corrupt louisiana power company guest every friday pm pt pm et dwatchnews nam theseattlestar thom hartmann neworleans seattle losangeles 
1435941347945586689,wheel new orleans report hurricaneida aftermath wusa sister station wwltv see next week dc 
1435241777280262144,two idiem global team deploy one deliver dei workshop amp mobilize neworleans support cultural competency train hurricaneida disaster equity response recovery coordinate activities community base partner 
1434353863264374784,bethenny frankel mil hurricane ida relief effort bring necessities cash louisiana bethennyfrankel hurricaneida 
1435313197238702082,beautiful couple ida larry nlwx 
1435259833670901763,hurricaneida nolatwitter might option worth try include evacuate pay hotels pocket 
1436463520539975694,drmetwatch radar presentation larry downright frighten would talk ida level rainfall storm move quickly still nl go get wet overnight 
1435989212801732611,update thur sept louisiana state hurricane ida survivors reach louisiana dial update shelter info louisiana text keyword lashelter live orleans text nolaready local alert 
1435072879868071939,new orleans seniors leave dark hot facilities ida america treat elderly poorly disposable commodities greedy bastards pour governors doh poorly regulate assistedliving memorycare alzheimer consumervoices cmsgov 
1436369105414721537,louisiana need jump reject joebidens demand enough destruction without add 
1435698213047132161,iuic neworleans go streets aftermath hurricaneida get face face people amp report media cutsfromthestreet drop today pm cst iuic neworleans youtube channel want miss 
1436376446239453184,historic wind floodwaters significantly damage electricaldistribution throughout south northeast interest fact wood pole treaters go overdrive aid utilities return power hurricaneida disasterreponse 
1435107212192530438,horrific shame someone must hold accountable people disposable hurricaneida aftermath 
1435323853895520257,watch cpra chairman chip kline weatherchannel discuss hurricane ida new orleans levee system next coastal louisiana 
1436362713555472392,usacemobile mississippi coastal improvement program mscip help protect mississippi coast storm hurricane ida learn 
1434321481622769664,scary graveyard halloween treat halloween treat fun louisiana acadiana lafayette scary graveyard 
1435040191568351237,foundation near dear heart donate help home thank thank thank hurricaneida evacuate 
1435993767484563461,bravo new orleans affiliate wwlamfm wwl hurricaneida ida new orleans residents find source hope hurricane station 
1435644085390434308,anyone know need support due hurricaneida dancenyc compile emergency response resources learn image blue square w white headline text read hurricane ida emergency response resources 
1434450282134614018,full restoration electricity hardest hit areas louisiana batter hurricane ida could take end month head entergy louisiana warn least deaths blame storm louisiana mississippi alabama 
1434862440852905992,phone number since change need help please reach need assistance train everyday stay tune health wellness launch weeks time go need hurricaneida hell week full recovery 
1436380258467450888,nola mess sick die bird find oil spill hurricane ida pollution leak mitigate still investigate uscg amp feds mississippiriver waterford dtrh popeye ahemandias nucleararborist captd mailonline 
1434360668535156736,aftermath hurricane ida hurricane ida death toll approach biden visit affect areas us hurricane ida 
1435186740952801281,thank louisianahbrah put together hurricaneida hurricaneidarelief hurricaneidarecovery 
1435355518760112131,stand outside rain rake hand clean storm debris catch basins street think epitome crazy old men use make fun wear well nola ida kid star welcome 
1435459658190368770,lt days yrslater finally make leap move louisiana travelingsw matthew ask amp shall give seek amp ye shall find knock amp shall open unto 
1435627677025722378,old folks use say save money rainy day fa sho talkin bout ida houmastrong slim rap music 
1434727441721958400,deanne criswell administrator federal emergency management agency say sunday climate change crisis generation hurricane ida tear country leave least people dead nationwide us climate hurricane ida 
1434858279226728454,prayers recovery hurricaneida 
1436819984215384064,please help able hesitate dm question hurricane ida ida idarecovery louisianastrong hurricane findthehelpers 
1435011918004162562,fema devastate areas hurricaneida truck people instal tarps satellite link computers register people financial assistance itsbeenaweek forgottenbayoufolks 
1435960661419327492,biden get real climate change climate policy ida 
1434384418316161025,offer thoughts prayers neworleans louisiana prayforneworleans 
1434561354195775493,help stephanie year old recover mutualaid hurricaneida ida idaaftermath 
1434592880547569675,fierce hurricanelarry churn across atlantic could even stronger ida hurricaneida east coast could face life threaten surf 
